Instance,Optimal,NF,NF_time,NF_gap,FF,FF_time,FF_gap,BF,BF_time,BF_gap,FFD,FFD_time,FFD_gap,PROP,PROP_time,PROP_gap
Falkenauer_u1000_00.txt,399,558,0.00025679997634142637,39.85,403,0.037402499991003424,1.0,403,0.04176039999583736,1.0,403,0.029116799996700138,1.0,404,73.09308550000424,1.25
Falkenauer_u1000_01.txt,406,576,0.0007636000227648765,41.87,411,0.21007030000328086,1.23,411,0.2212289999879431,1.23,411,0.1235142000077758,1.23,411,147.8987855000014,1.23
Falkenauer_u1000_02.txt,411,581,0.0003996000159531832,41.36,416,0.04145930000231601,1.22,416,0.08526799999526702,1.22,416,0.07089619999169372,1.22,416,118.05907340001431,1.22
Falkenauer_u1000_03.txt,411,579,0.0003448000061325729,40.88,416,0.12421609999728389,1.22,416,0.25349430000642315,1.22,416,0.061472300003515556,1.22,417,164.3300472999981,1.46
Falkenauer_u1000_04.txt,397,553,0.0011137999827042222,39.29,402,0.22756240001763217,1.26,402,0.3564773999969475,1.26,402,0.1554467000241857,1.26,402,148.3090702999907,1.26
Falkenauer_u1000_05.txt,399,560,0.000687899999320507,40.35,404,0.19142030001967214,1.25,404,0.4048268999904394,1.25,404,0.3085562000051141,1.25,404,149.64926249999553,1.25
Falkenauer_u1000_06.txt,395,548,0.00043539999751374125,38.73,399,0.10088639997411519,1.01,399,0.17446899999049492,1.01,399,0.08993819999159314,1.01,399,159.63327220000792,1.01
Falkenauer_u1000_07.txt,404,564,0.0011232999968342483,39.6,408,0.11453540000366047,0.99,408,0.22935209999559447,0.99,408,0.07414879999123514,0.99,409,163.15948060000665,1.24
Falkenauer_u1000_08.txt,399,560,0.0007683000003453344,40.35,404,0.30499679999775253,1.25,404,0.3609652000013739,1.25,404,0.2562487999966834,1.25,404,159.68121690000407,1.25
Falkenauer_u1000_09.txt,397,564,0.00039770000148564577,42.07,404,0.06793810002272949,1.76,404,0.2649132000224199,1.76,404,0.062339099997188896,1.76,404,169.7417923999892,1.76
Falkenauer_u1000_10.txt,400,566,0.0005555000097956508,41.5,404,0.04358120000688359,1.0,404,0.1112522000039462,1.0,404,0.28374579999945126,1.0,405,193.94735580001725,1.25
Falkenauer_u1000_11.txt,401,555,0.0003619000199250877,38.4,405,0.08014470001216978,1.0,405,0.11833460000343621,1.0,405,0.10995339998044074,1.0,406,189.46603509999113,1.25
Falkenauer_u1000_12.txt,393,550,0.0012373999925330281,39.95,398,0.35793959998409264,1.27,398,0.4098340000200551,1.27,398,0.20011859998339787,1.27,398,190.512900599977,1.27
Falkenauer_u1000_13.txt,396,554,0.0002998999843839556,39.9,401,0.044841700000688434,1.26,401,0.24643480000668205,1.26,401,0.15676139999413863,1.26,401,187.61029670000426,1.26
Falkenauer_u1000_14.txt,394,542,0.0013111000007484108,37.56,400,0.10621050000190735,1.52,400,0.24914620001800358,1.52,400,0.18207030001212843,1.52,400,135.8074600000109,1.52
Falkenauer_u1000_15.txt,402,570,0.00035039999056607485,41.79,408,0.04231129999971017,1.49,408,0.17823029999271967,1.49,408,0.1047530000214465,1.49,409,139.83391069999197,1.74
Falkenauer_u1000_16.txt,404,573,0.0005384999967645854,41.83,407,0.2666023999918252,0.74,407,0.3546022000082303,0.74,407,0.2467023000062909,0.74,408,152.58740170000237,0.99
Falkenauer_u1000_17.txt,404,571,0.0007944999961182475,41.34,409,0.18821150000439957,1.24,409,0.43214580000494607,1.24,409,0.2490819999948144,1.24,409,132.96185930000502,1.24
Falkenauer_u1000_18.txt,399,563,0.0007686000026296824,41.1,403,0.10335099999792874,1.0,403,0.26893699998618104,1.0,403,0.15276870000525378,1.0,403,133.99745990001247,1.0
Falkenauer_u1000_19.txt,400,566,0.0002145000034943223,41.5,406,0.06973660000949167,1.5,406,0.06649660001858138,1.5,406,0.211466599983396,1.5,406,121.83299700001953,1.5
Falkenauer_u120_00.txt,48,67,9.82999918051064e-05,39.58,49,0.0011193999962415546,2.08,49,0.0005611999949906021,2.08,49,0.00034690002212300897,2.08,49,2.7604126000078395,2.08
Falkenauer_u120_01.txt,49,67,7.119998917914927e-05,36.73,49,0.0009546999935992062,0.0,49,0.0013208000164013356,0.0,49,0.0013718999980483204,0.0,49,1.666848699998809,0.0
Falkenauer_u120_02.txt,46,62,2.6699999580159783e-05,34.78,47,0.0003479000006336719,2.17,47,0.0005142999871168286,2.17,47,0.0003507000219542533,2.17,46,2.6977528000134043,0.0
Falkenauer_u120_03.txt,49,69,3.1100003980100155e-05,40.82,50,0.0003505999920889735,2.04,50,0.0005848000000696629,2.04,50,0.0003615999885369092,2.04,50,1.0046310999896377,2.04
Falkenauer_u120_04.txt,50,69,5.43000060133636e-05,38.0,50,0.0007802000036463141,0.0,50,0.0007289999921340495,0.0,50,0.0005452999903354794,0.0,50,2.8868763000064064,0.0
Falkenauer_u120_05.txt,48,68,0.00010570001904852688,41.67,49,0.0023518999805673957,2.08,49,0.0017373000155203044,2.08,49,0.0007940999930724502,2.08,48,1.1024380000017118,0.0
Falkenauer_u120_06.txt,48,68,1.920000067912042e-05,41.67,49,0.0003620999923441559,2.08,49,0.0005586000042967498,2.08,49,0.0003632000007200986,2.08,49,2.972878700005822,2.08
Falkenauer_u120_07.txt,49,67,4.299997817724943e-05,36.73,50,0.0008672000258229673,2.04,50,0.0012508999789133668,2.04,50,0.0008256000000983477,2.04,50,1.4359537999844179,2.04
Falkenauer_u120_08.txt,50,71,2.19999928958714e-05,42.0,51,0.0003606999816838652,2.0,51,0.0005738000036217272,2.0,51,0.0003583999932743609,2.0,51,2.7570719000068493,2.0
Falkenauer_u120_09.txt,46,64,3.749999450519681e-05,39.13,47,0.0007852000126149505,2.17,47,0.001208400004543364,2.17,47,0.0007826999935787171,2.17,47,1.300142499996582,2.17
Falkenauer_u120_10.txt,52,75,3.2400013878941536e-05,44.23,52,0.0004324000037740916,0.0,52,0.0007532000017818063,0.0,52,0.0004850999976042658,0.0,52,2.2279739000077825,0.0
Falkenauer_u120_11.txt,49,71,4.05999890062958e-05,44.9,50,0.0008093999931588769,2.04,50,0.0013136999914422631,2.04,50,0.0008683000050950795,2.04,49,2.0734162000007927,0.0
Falkenauer_u120_12.txt,48,68,5.709999823011458e-05,41.67,49,0.00041900001815520227,2.08,49,0.0005298999894876033,2.08,49,0.0003515999997034669,2.08,49,2.0416803999978583,2.08
Falkenauer_u120_13.txt,49,68,7.020001066848636e-05,38.78,49,0.0014630999939981848,0.0,49,0.0012492999958340079,0.0,49,0.000818600005004555,0.0,49,2.1821458999766037,0.0
Falkenauer_u120_14.txt,50,68,4.600000102072954e-05,36.0,50,0.000687599997036159,0.0,50,0.0011807999981101602,0.0,50,0.0008203000179491937,0.0,50,1.2101237999740988,0.0
Falkenauer_u120_15.txt,48,67,3.969998215325177e-05,39.58,49,0.0006990999972913414,2.08,49,0.000979800010100007,2.08,49,0.0003505999920889735,2.08,48,2.2699933999974746,0.0
Falkenauer_u120_16.txt,52,73,4.069998976774514e-05,40.38,52,0.0008124999876599759,0.0,52,0.0013205000141169876,0.0,52,0.0008230999810621142,0.0,52,1.6385154000017792,0.0
Falkenauer_u120_17.txt,52,75,1.9899976905435324e-05,44.23,53,0.000381199992261827,1.92,53,0.0005869999877177179,1.92,53,0.00035470002330839634,1.92,53,1.2303695000009611,1.92
Falkenauer_u120_18.txt,49,66,3.9799982914701104e-05,34.69,50,0.00083710000035353,2.04,50,0.0012376999948173761,2.04,50,0.0008069000032264739,2.04,49,2.6798011000209954,0.0
Falkenauer_u120_19.txt,49,69,2.4200009647756815e-05,40.82,50,0.0003569000109564513,2.04,50,0.0005555999814532697,2.04,50,0.00035570000181905925,2.04,50,1.025929700001143,2.04
Falkenauer_u250_00.txt,99,137,7.029998232610524e-05,38.38,100,0.0022478000028058887,1.01,100,0.002177499991375953,1.01,100,0.0017063000123016536,1.01,100,8.978702799999155,1.01
Falkenauer_u250_01.txt,100,140,0.00014710001414641738,40.0,101,0.003624699980719015,1.0,101,0.002991100016515702,1.0,101,0.0014869000006001443,1.0,101,9.411026400019182,1.0
Falkenauer_u250_02.txt,102,144,0.00023599999258294702,41.18,104,0.0035881999938283116,1.96,104,0.005359099974157289,1.96,104,0.005846699990797788,1.96,104,10.008410100010224,1.96
Falkenauer_u250_03.txt,100,138,0.0001264000020455569,38.0,101,0.0019526999967638403,1.0,101,0.0038474999892059714,1.0,101,0.0024702000082470477,1.0,101,10.084923899994465,1.0
Falkenauer_u250_04.txt,101,141,9.660000796429813e-05,39.6,102,0.003929800004698336,0.99,102,0.0049912999966181815,0.99,102,0.003440999978920445,0.99,102,10.276064200006658,0.99
Falkenauer_u250_05.txt,101,146,0.00021460000425577164,44.55,104,0.004443100013304502,2.97,104,0.005332200002158061,2.97,104,0.003953500010538846,2.97,103,9.395533399976557,1.98
Falkenauer_u250_06.txt,102,143,0.0001336999994236976,40.2,103,0.00616639998042956,0.98,103,0.006582600006368011,0.98,103,0.020378799992613494,0.98,103,9.179575399990426,0.98
Falkenauer_u250_07.txt,103,145,0.00010679999832063913,40.78,105,0.002116299991030246,1.94,105,0.002890000003390014,1.94,105,0.0015283000248018652,1.94,105,9.56574130000081,1.94
Falkenauer_u250_08.txt,105,148,0.0001382000045850873,40.95,107,0.00434700000914745,1.9,107,0.007226300018373877,1.9,107,0.019894099998055026,1.9,107,8.48590439997497,1.9
Falkenauer_u250_09.txt,101,142,0.00015440001152455807,40.59,102,0.003414700011489913,0.99,102,0.00513080001110211,0.99,102,0.0033361999958287925,0.99,102,8.113300900004106,0.99
Falkenauer_u250_10.txt,105,150,0.00020569999469444156,42.86,106,0.0015082999889273196,0.95,106,0.0023173000081442297,0.95,106,0.001507199980551377,0.95,106,8.195392000023276,0.95
Falkenauer_u250_11.txt,101,142,0.00010299999848939478,40.59,103,0.002236500004073605,1.98,103,0.002225100004579872,1.98,103,0.001486799999838695,1.98,102,7.805188600003021,0.99
Falkenauer_u250_12.txt,105,148,0.0002367999986745417,40.95,107,0.0036786000127904117,1.9,107,0.005247000022791326,1.9,107,0.0051398999930825084,1.9,107,6.976566500001354,1.9
Falkenauer_u250_13.txt,103,145,0.00010350000229664147,40.78,104,0.0034029000089503825,0.97,104,0.005045400001108646,0.97,104,0.003408999997191131,0.97,104,8.005348500009859,0.97
Falkenauer_u250_14.txt,100,141,5.6199991377070546e-05,41.0,101,0.0015053999959491193,1.0,101,0.002252200007205829,1.0,101,0.0014782999933231622,1.0,101,7.815879000001587,1.0
Falkenauer_u250_15.txt,105,147,7.830001413822174e-05,40.0,107,0.0022978000051807612,1.9,107,0.00242540001636371,1.9,107,0.0015002999862190336,1.9,107,8.31843869999284,1.9
Falkenauer_u250_16.txt,97,137,0.00012280000373721123,41.24,99,0.003362199990078807,2.06,99,0.005038100003730506,2.06,99,0.003308999992441386,2.06,98,6.36324410000816,1.03
Falkenauer_u250_17.txt,100,136,3.989998367615044e-05,36.0,101,0.0016027000092435628,1.0,101,0.002148200001101941,1.0,101,0.0014737999881617725,1.0,101,7.137422800005879,1.0
Falkenauer_u250_18.txt,100,140,6.399999256245792e-05,40.0,102,0.0021206999954301864,2.0,102,0.0021995999850332737,2.0,102,0.0014854999899398535,2.0,101,6.9404289000085555,1.0
Falkenauer_u250_19.txt,102,141,0.00023770000552758574,38.24,103,0.006422200007364154,0.98,103,0.0050712999945972115,0.98,103,0.02024750001146458,0.98,103,7.563890199991874,0.98
Falkenauer_u500_00.txt,198,277,7.159999222494662e-05,39.9,201,0.006517900008475408,1.52,201,0.008410600014030933,1.52,201,0.052939899993361905,1.52,201,28.812177000014344,1.52
Falkenauer_u500_01.txt,201,281,0.00022869999520480633,39.8,204,0.020285800012061372,1.49,204,0.06113499999628402,1.49,204,0.07191840000450611,1.49,204,31.73810760001652,1.49
Falkenauer_u500_02.txt,202,287,7.800001185387373e-05,42.08,205,0.005854299990460277,1.49,205,0.00853259998257272,1.49,205,0.022483900014776736,1.49,205,32.92845809998107,1.49
Falkenauer_u500_03.txt,204,289,9.159999899566174e-05,41.67,207,0.0061184999940451235,1.47,207,0.00970599998254329,1.47,207,0.022323799988953397,1.47,207,33.83528160001151,1.47
Falkenauer_u500_04.txt,206,289,0.00011430002632550895,40.29,209,0.0059037999890279025,1.46,209,0.009390000021085143,1.46,209,0.03751999998348765,1.46,209,33.193425700010266,1.46
Falkenauer_u500_05.txt,206,292,8.490000618621707e-05,41.75,207,0.005930000013904646,0.49,207,0.0400491000036709,0.49,207,0.006679899990558624,0.49,208,31.065073800011305,0.97
Falkenauer_u500_06.txt,207,292,0.00014449999434873462,41.06,210,0.013689299987163395,1.45,210,0.11450940000941046,1.45,210,0.04504369999631308,1.45,210,29.70010220000404,1.45
Falkenauer_u500_07.txt,204,288,9.259997750632465e-05,41.18,207,0.005905500001972541,1.47,207,0.009040899982210249,1.47,207,0.08380389999365434,1.47,207,29.485221000009915,1.47
Falkenauer_u500_08.txt,196,273,0.00017110002227127552,39.29,199,0.013155699998605996,1.53,199,0.12706229998730123,1.53,199,0.04495040001347661,1.53,199,22.692169999994803,1.53
Falkenauer_u500_09.txt,202,280,0.0002648000081535429,38.61,204,0.031280499999411404,0.99,204,0.05144229999859817,0.99,204,0.06027749998611398,0.99,204,19.431556700001238,0.99
Falkenauer_u500_10.txt,200,280,0.00016799999866634607,40.0,202,0.013973900000564754,1.0,202,0.0694272999826353,1.0,202,0.04622320001362823,1.0,202,19.240424800023902,1.0
Falkenauer_u500_11.txt,200,281,0.00022239997633732855,40.5,203,0.013468599994666874,1.5,203,0.03541330000734888,1.5,203,0.013400800002273172,1.5,203,19.61099060002016,1.5
Falkenauer_u500_12.txt,199,275,0.0001345000055152923,38.19,202,0.013573500007623807,1.51,202,0.03853699998580851,1.51,202,0.029660900007002056,1.51,202,20.350638300005812,1.51
Falkenauer_u500_13.txt,196,274,0.0002773999876808375,39.8,198,0.03102779999608174,1.02,198,0.03490710002370179,1.02,198,0.014545400015776977,1.02,198,17.50668720001704,1.02
Falkenauer_u500_14.txt,204,285,0.00017809998826123774,39.71,206,0.016515200026333332,0.98,206,0.05905830001574941,0.98,206,0.013550899981055409,0.98,206,17.26707770000212,0.98
Falkenauer_u500_15.txt,201,279,0.000281700020423159,38.81,204,0.032391599990660325,1.49,204,0.036003899993374944,1.49,204,0.029506499995477498,1.49,203,18.193525500013493,1.0
Falkenauer_u500_16.txt,202,283,0.00021249998826533556,40.1,205,0.013758399989455938,1.49,205,0.03780569997616112,1.49,205,0.014524900005199015,1.49,204,18.563788100000238,0.99
Falkenauer_u500_17.txt,198,277,0.0002899999963119626,39.9,201,0.038644099986413494,1.52,201,0.12993990001268685,1.52,201,0.03181290000793524,1.52,201,22.03935679999995,1.52
Falkenauer_u500_18.txt,202,289,9.119999594986439e-05,43.07,205,0.005937199981417507,1.49,205,0.008885799994459376,1.49,205,0.00667760000214912,1.49,205,12.601846700010356,1.49
Falkenauer_u500_19.txt,196,276,7.229999755509198e-05,40.82,199,0.0059501000214368105,1.53,199,0.010607100004563108,1.53,199,0.006306399998720735,1.53,199,9.035081900015939,1.53
